id,signature,year (map),order,library,category (desc),date (desc),location (desc),extract (desc),description,hsc,catalog,digital copy,additional info,origin,radius,long,lat
od9,"Berlin, Staatsbibliothek, Ms. germ. qu. 149",1420,Sonstiges,"Berlin, Staatsbibliothek","Sammlung von Sendbriefen, Predigten und Traktaten",1420/1430,,"169r-188v: III, 22-24, 5, 44; IV, 58; II, 41 (letzter Absatz); IV, 23, 45, 47, 50 (erweiterte Fassung), 59b; V, 19, 29; II, 21; III, 16 (ohne 1. Teil); IV, 37 (ohne letzten Abschnitt); I, 25b; I, 37 (nur 1. Teil, aber erweitert – Zählung geht weiter); II, 3; III, 18 (ohne 1. Absatz), 26, 35; IV, 30; III, 47; IV, 21; V, 28; II, 17",,http://www.handschriftencensus.de/11815;,"http://pik.ku-eichstaett.de/9718/ 
http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0603b_b024_jpg.htm  
",–,,,100.00,9.15730,48.26430
od10,"Berlin, Staatsbibliothek, Ms. germ. qu. 178",1450,Zisterzienser,"Berlin, Staatsbibliothek","Lebensbeschreibung Jesu, dazu kleinere erbauliche Schriften",Mitte 15. Jh.,"wsl. St. Nikolaus in undis, Straßburg, Dominikanerinnen","188v-191r:   I, 29 (Abschitte umgestellt)
201r-201v:   I, 1b (1. Absatz)
213r-214v:   I, 5b (ohne letzten Absatz)
223r-227v:   I, 5c-d",,http://www.handschriftencensus.de/11825,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0603b_b033_jpg.htm,–,,,,7.76260,48.58170
od11,"Berlin, Staatsbibliothek, Ms. germ. qu. 344",1487,Dominikaner,"Berlin, Staatsbibliothek","Sammelband theologischen Inhalts, Kopien aus mehreren Handschriften",15.-17. Jh. (MH-Teil wohl 4. Viertel 15. Jh.),"wsl. St. Nikolaus in undis, Straßburg, Dominikanerinnen","221r-232v: Prolog, Vorwort; 
I, 1 und I, 2 (bricht im Kapitel ab)",,http://www.handschriftencensus.de/11849,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0603b_b064_jpg.htm,–,,,,7.76260,48.58170
od12,"Berlin, Staatsbibliothek, Ms. germ. qu. 434",1487,Augustiner,"Berlin, Staatsbibliothek",Theologische  Sammelhandschrift,4. Viertel 15. Jh.,"wsl. St. Nikolaus in undis, Straßburg, Dominikanerinnen ","1r-24v: I, 2 – I, 11 (Abbruch) ohne I, 5e, 8 (1. Absatz), 9c",,http://www.handschriftencensus.de/11849,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0603b_b078_jpg.htm,–,,,,7.76260,48.58170
od13,"Berlin, Staatsbibliothek, Ms. germ. oct. 31",1463,Dominikaner,"Berlin, Staatsbibliothek",Gebet- und Andachtsbuch,3. Viertel 15. Jh.,"wsl. St. Nikolaus in undis, Straßburg, Dominikanerinnen ","230v-231v: III, 30",,http://www.handschriftencensus.de/9179,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0603c_b013_jpg.htm,–,,,,7.76260,48.58170
od14,"Berlin, Staatsbibliothek, Ms. germ. oct. 37",1478,Dominikaner,"Berlin, Staatsbibliothek",Sammelhandschrift von Erbauungsschriften,1478 (1458?) ,"wsl. St. Nikolaus in undis, Straßburg, Dominikanerinnen ","79r-84v: I, 43 ","Degering und Zieger lesen '1478' (vgl. 2r 
und 11r), das Digitalisat datiert auf '1458'",http://www.handschriftencensus.de/9180,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0603c_b015_jpg.htm,http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN777760347,,,,7.76260,48.58170
od15,"Berlin, Staatsbibliothek, Ms. germ. oct. 513",1500,Kartäuser,"Berlin, Staatsbibliothek",Gebet- und Andachtsbuch,um 1500,Augustiner-Chorfrauenstift Inzigkofen (dort jedoch nicht geschrieben) ,"6r-11v: III, 16 (letzter Absatz) III, 17 (ohne letzten Absatz) III, 19 (Abschnitt aus Mittelteil)",,http://www.handschriftencensus.de/9325,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0603c_b175_jpg.htm,–,,,,9.17780,48.07390
od16,"Berlin, Staatsbibliothek, Ms. germ. oct. 572",1550,Benediktiner,"Berlin, Staatsbibliothek",Gebet- und Andachtsbuch,16. Jh.,"St. Walburg, Eichstätt, Benediktinerinnen","179r-v: IV, 15 (1. Absatz)Von Degering als III, 11 identifiziert )","später im Besitz von Victoria und Maria Josepha 
Wolffin im Benediktinerinnenkloster St. Walburg; 
später im Besitz Johanns von Geissel, Erzbischof 
von Köln"" ",http://www.handschriftencensus.de/9347,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0603c_b208_jpg.htm,–,,,,11.18340,48.89590
od17,"Berlin, Staatsbibliothek, Ms. germ. oct. 628",1450,Dominikaner,"Berlin, Staatsbibliothek",Gebet- und Andachtsbuch,15. Jh.,"St. Katharina, Nürnberg, Dominikanerinnen","42r-60v: III, 30-32, 8 (letzter Absatz), 27, 21; IV, 26; II, 36 (1. Absatz); IV, 15, 17; unbekannter Abschnitt; I, 31, 30",,http://www.handschriftencensus.de/9370,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0603c_b239_jpg.htm,–,,,,11.08200,49.45200
od18,"Beuron, Bibliothek der Erzabtei, 8° Ms. 43 (früher Cod. 24)",1554,Benediktiner,"Beuron, Bibliothek der Erzabtei",Gebet- und Andachtsbuch,1554,"Neresheim, Benediktiner; später Kirchheim am Ries, Zisterzienserinnen; später Augustiner-Chorfrauenstift Inzigkofen","283v-284r: I, 5b (Teil); ","
'Splendor paternae gloriae' 
(1. Strophe)""
(vgl. Dreves, Guido Maria/Blume, Clemens: Ein Jahrtausend lateinischer
 Hymnendichtung, Bd. I, Leipzig 1909, S. 8f.) Fassung auch in Köln, Archiv der Stadt, Best. 7008
(GB 8°) 6, 232v-234r
München, BSB, Cgm 860, 28v-29r
Darmstadt, UB/LB, Hs. 193, 103r ",http://www.handschriftencensus.de/16810,–,"Edition des Abschnittes: Stammler, Wolfgang, 
Spätlese des Mittelalters, 
Bd. II: Religiöses Schrifttum, Berlin 1965, 
S. 29 und 77f. (nach dieser Hs.)",,,,10.34370,48.75600
od19,"Budapest, Nationalbibliothek, Cod. Germ. 33 
(+ Budapest, Museum der Bildenden Künste, Inv.-Nr. 
1914-7 bis 1914-12 [6 Holzschnitte])",1520,Unbekannt,"Budapest, National Széchényi Library",Nonnengebetbuch (Sterbe- und Bußandachten),um 1520,wohl ein Frauenkloster (Zisterzienserinnen?) Augsburg/Nürnberg,"243r-246v: V, 18b ",Vorbesitzer im 18. Jh. Johann Adam von Reisach; später Miklos Jankovich,http://www.handschriftencensus.de/3356,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0241_a077_jpg.htm,–,,,100.00,10.77990,48.93800
od20,"Colmar, Stadtbibliothek, Ms. 334",1450,Dominikaner,"Colmar, Bibliothèque Municipale",Liber specialis gratiae als einziger Text,15. Jh.,"Unterlinden, Colmar, Dominikanerinnen","3r-262v: Bücher I-V, jedoch gekürzt",,http://www.handschriftencensus.de/2535,"Schmitt, Pierre: Manuscrits de la Bibliothèque de Colmar (Catalogue Général des Manuscrits des 
Bibliothèques Publiques de France 56), Paris 1969, S. 88 (Nr. 200).",–,,,,7.35620,48.07950
od21,"Freiburg, Erzbischöfliches Archiv, Hs. 11",1441,Dominikaner,"Freiburg i. Br., Erzbischöfliches Archiv",Privatgebetbuch,um 1441-43 (Mechthild-Teil),"Adelhausen, Freiburg, Dominikanerinnen ","64v-72r: V, 18b, 19",,http://www.handschriftencensus.de/13904,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0087_c217_jpg.htm,–,,,,7.85130,47.99320
od22,"Freiburg, Erzbischöfliches Archiv, Hs. 14",1450,Dominikaner,"Freiburg i. Br., Erzbischöfliches Archiv",Privatgebetbuch,15. Jh.," Adelhausen, Freiburg, Dominikanerinnen ","339r-341v: I, 29 (ohne letzten Absatz) ","Von Nonne (Anna Kriabiel) für Nonne (Susanne Vollmer) 
geschrieben",–,https://freidok.uni-freiburg.de/fedora/objects/freidok:5614/datastreams/FILE1/content (S. 145),–,,,,7.85130,47.99320
od23,"Freiburg, Stadtarchiv, B 1 Nr. 126",1475,Sonstiges,"Freiburg i. Br., Stadtarchiv",Dt.-lat. Gebetbuch,2. Hälfte 15. Jh. ,"St. Maria Magdalena an den Steinen, Basel, Reuerinnen; später 
St. Agnes, Freiburg, Dominikanerinnen; später Adelhausen, 
Dominikanerinnen","8r–12r: I, 43",Gebetbuch der Ursula von Stoffeln ,http://www.handschriftencensus.de/13884,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0087_c166_jpg.htm,–,,,,7.59150,47.55350
od24,"Freiburg, Universitätsbibliothek, Hs. 192",1430,Unbekannt,"Freiburg i. Br., Universitätsbibliothek",Marienleben Es sprichet sant Iheronimus,1430/32,oberrheinisches Frauenkloster,"in den Text eingewoben: I, 1, 5, 7, 8, 12, 26, 
27, 29",,http://www.handschriftencensus.de/4771,http://dl.ub.uni-freiburg.de/diglit/hs192,–,,,100.00,8.43900,48.78100
od25,"Freiburg, Universitätsbibliothek, Hs. 210",1490,Unbekannt,"Freiburg i. Br., Universitätsbibliothek","Sammelhandschrift mit mystischen und aszetischen Traktaten, u.a. Seuse",um 1490-1492,,"177v-192v: III, 29 (stark erweitert); 
IV, 36, 37 (ohne letzten 3 Absätze), 
38 (1. Absatz), 45, 47, 51, 52; III, 22 
(1. Teil des 1. Absatzes), 23a; I, 15; 
III, 4, 6a, 16 (ohne 1. Abschnitt), 18 
(ohne 1. und letzten Absatz), 26, 21; 
IV, 25 (1. Teil), 54; III, 44 
(letzter Abschnitt fehlt), 46, 48, 2 
(ohne 1. Abschnitt); I, 7 (ohne 1. und 
letzten Abschnitt), 11 (letzer Abschnitt 
des 3. Absatzes), 18c (ab 4. Absatz), 
18d (1. Abschnitt), 43, 44, 47; IV, 56","""""",http://www.handschriftencensus.de/13852,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0087_c047_jpg.htm,http://dl.ub.uni-freiburg.de/diglit/hs210,,,100.00,9.22610,48.08670
od26,"Freiburg, Universitätsbibliothek, Hs. 1500,30",1500,Sonstiges,"Freiburg i. Br., Universitätsbibliothek",Gebetssammlung,ca. 1500,"Klarissinnen, evtl. Valduna (?)","91v-93r: I, 29 (ohne letzten 2 Absätze)", ,http://www.handschriftencensus.de/21186 ,http://dl.ub.uni-freiburg.de/sammlung7/werk/pdf/hs1500-30.pdf,http://dl.ub.uni-freiburg.de/diglit/hs1500-30 ,,,,9.64850,47.26100
od27,"Heidelberg, Universitätsbibliothek, Hs. Heid. 33",1516,Unbekannt,"Heidelberg, Universitätsbibliothek","Mystische Sammelhandschrift, u.a. Seuses Briefbuch und Gertrud von Helftas botte, Predigten",1516/17,,"107r-217r   Prolog; IV, 30; III, 17, 29-32; I, 43; 
III, 19, 18, 16, 19, 30; I, 21, 23, 11; III, 17; IV, 
29; I, 19c, 5d; III, 19; I, 5d, 5c; III, 21, 24, 23a, 
25; I, 43; III, 26; I, 8; IV, 2; II, 40; I, 26c; II, 14; 
I, 14; III, 3, 4; I, 5b, 8; III, 33; I, 7, 16; III, 23a; 
IV, 59b; I, 17, 18e, 16a, 18a; II, 17; III, 1, 2; 
I, 1a; IV, 37; II, 1; I, 18c; IV, 56; V, 6; I, 18d; 
IV, 56; I, 19d; III, 5; I, 42, 44, 47, 26b; IV, 29 (?); 
V, 28; IV, 53; V, 18b, 19; III, 20; II, 41; IV, 23; 
III, 16; IV, 18; V, 15; I, 35; VI, 9; II, 34; I, 9a, 
16b; IV, 60; III, 35, 49; IV, 21; II, 22; IV, 59b; 
III, 43; II, 21; III, 43, 44; IV, 59c; III, 8; I, 18; 
III, 27; II, 41; III, 10, 18; I, 7; IV, 59c; V, 29; 
IV, 38, 37; III, 7; I, 20c; IV, 55, 58; I, 30 (?); 
IV, 59 (?); III, 34; I, 5c; IV, 28; III, 14; IV, 33; 
III, 41; IV, 33; III, 10, 13, 41, 14, 13; IV, 7; III, 
14, 27, 18; I, 31a; V, 3, 5: I, 47 (?), 29, 31; IV, 29; 
III, 5, 26; I, 20, 30; II, 15; II, 15, 41; IV, 23; I, 46; 
II, 36, 41, 36; III, 36; IV, 24, 25, 26; (nicht 
identifizierter Teil); III, 16; IV, 32, 30; II, 31, 32; 
I, 18c; IV, 51, 52: II, 29; IV, 58; II, 25; IV, 59, 40; 
II, 39; Schluss ""Abschrift des Druckes von 1508;","
Nach dem Schluss (190v) weitere Gebete, die noch dem
Liber attribuiert werden (vgl. Druck 1508) ",http://www.handschriftencensus.de/4965,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0031_b208_jpg.htm,https://digi.ub.uni-heidelberg.de/diglit/heidhs33,,,100.00,8.68760,49.48960
od28,"Karlsruhe, Badische Landesbibliothek, Cod. Lichtenthal 67",1470,Zisterzienser,"Karlsruhe, Badische Landesbibliothek","MH als Haupttext, dazu einige Kapitel der Vita der Katharina von Siena von Raimund von Capua",1470,wohl in der Umgebung von Lichtenthal (Zisterzienserinnen),"2r-192v: Bücher I-V, jedoch ohne die folgenden 
Kapitel (I, 10, 13b, 40; II, 19, 23, 29b; III, 37, 
40, 43, 49, 50, 52; IV, 1-4, 8, 10-12, 14, 19, 20, 
27, 31, 33, 34, 39-44, 46, 48, 49, 52, 53, 57; 
V, 1 [Teil], 2-5, 7, 8, 10b, 11, 15, 31, 32)",,http://www.handschriftencensus.de/9481,http://digital.blb-karlsruhe.de/blbihd/content/pageview/66174,http://digital.blb-karlsruhe.de/urn/urn:nbn:de:bsz:31-35519,,,20.00,8.25650,48.74540
od29,"Karlsruhe, Badische Landesbibliothek, Cod. Lichtenthal 87",1450,Unbekannt,"Karlsruhe, Badische Landesbibliothek","Heiligenviten und Legenden, mystische Traktate und Predigten, Gebete",um 1450-54,vermutlich Straßburg,"223v-224v: I, 43",,http://www.handschriftencensus.de/9492,https://digital.blb-karlsruhe.de/blbihd/content/pageview/66207 ,http://digital.blb-karlsruhe.de/urn/urn:nbn:de:bsz:31-35953,http://www.eckhart.de/Textzeugen/karlsruhe.htm#Ka9,,10.00,7.74630,48.58290
od30,"Karlsruhe, Badische Landesbibliothek, Cod. Lichtenthal 90",1525,Benediktiner,"Karlsruhe, Badische Landesbibliothek",Gebet- und Andachtsbuch,um 1525-1530 ,"Frauenalb, Benediktinerinnen ","255v-259r: V, 18b (ohne 1. und letzten Absatz) 300v-303v: I, 19e",,http://www.handschriftencensus.de/9494,http://digital.blb-karlsruhe.de/blbihd/content/pageview/66214,http://digital.blb-karlsruhe.de/urn/urn:nbn:de:bsz:31-29496,,,,8.44110,48.83430
od31,"Karlsruhe, Badische Landesbibliothek, Cod. Lichtenthal 92",1520,Benediktiner,"Karlsruhe, Badische Landesbibliothek",Gebet- und Andachtsbuch,1520-1540,"Frauenalb, Benediktinerinnen","167r-169r: I, 47 232r-236r: I, 19e",,–,http://digital.blb-karlsruhe.de/blbihd/content/pageview/66219,http://digital.blb-karlsruhe.de/blbhs/Handschriften/content/titleinfo/902088,,,,8.44110,48.83430
od32,"Karlsruhe, Badische Landesbibliothek, Cod. Lichtenthal 94",1550,Zisterzienser,"Karlsruhe, Badische Landesbibliothek",Gebet- und Andachtsbuch,Mitte 16. Jh.,"Königsbrück bei Hagenau, Zisterzienserinnen","55v: I, 13a (letzter Abschnitt)",,http://www.handschriftencensus.de/14823,http://digital.blb-karlsruhe.de/blbihd/content/pageview/66224,http://digital.blb-karlsruhe.de/urn/urn:nbn:de:bsz:31-35856,,,,8.00470,48.51400
od33,"Karlsruhe, Badische Landesbibliothek, Cod. Lichtenthal 99",1469,Unbekannt,"Karlsruhe, Badische Landesbibliothek",Gebet- und Andachtsbuch,1469,Südwestdeutschland; im 17. Jh. in Lichtenthaler Besitz,"132v-136r: I, 19e",bei Heinzer/Stamm fälschlich Mechthild von Magdeburg zugeschrieben,http://www.handschriftencensus.de/14827,http://digital.blb-karlsruhe.de/blbihd/content/pageview/66242,http://digital.blb-karlsruhe.de/urn/urn:nbn:de:bsz:31-29469,,,100.00,8.48690,47.98400
od34,"Karlsruhe, Badische Landesbibliothek, Cod. Lichtenthal 105",1520,Zisterzienser,"Karlsruhe, Badische Landesbibliothek",Gebet- und Andachtsbuch,Anfang 16. Jh.,"Lichtenthal, Zisterzienserinnen","71r–76v: I, 19e
118v–126r: I, 43",,http://www.handschriftencensus.de/14832,https://digital.blb-karlsruhe.de/blbihd/content/pageview/66256,https://digital.blb-karlsruhe.de/urn/urn:nbn:de:bsz:31-35689,,,,8.25650,48.74540
od35,"Karlsruhe, Badische Landesbibliothek, Cod. Lichtenthal 106",1540,Benediktiner,"Karlsruhe, Badische Landesbibliothek",Gebet- und Andachtsbuch (lat.-dt.),1540,"Frauenalb, Benediktinerinnen","61r-69r: III, 17, 19 (Abschnitt aus 2. Absatz) 319r-323r: I, 19e","Gleiche Schreiberin wie Cod. Lichtenthal 109, Margaretha von 
Remchingen (f. 323v) ",http://www.handschriftencensus.de/14833,http://digital.blb-karlsruhe.de/blbihd/content/pageview/66258,http://digital.blb-karlsruhe.de/urn/urn:nbn:de:bsz:31-35690,,,,8.44110,48.83430
od36,"Karlsruhe, Badische Landesbibliothek, Cod. Lichtenthal 107",1525,Benediktiner,"Karlsruhe, Badische Landesbibliothek",Gebet- und Andachtsbuch,1. Hälfte 16. Jh.,"Frauenalb, Benediktinerinnen","329v-331v: I, 19e 369v-376v: V, 18b (ohne 1. und letzten Absatz)",,http://www.handschriftencensus.de/14834,http://digital.blb-karlsruhe.de/blbihd/content/pageview/66263,http://digital.blb-karlsruhe.de/urn/urn:nbn:de:bsz:31-35704,,,,8.44110,48.83430
od37,"Karlsruhe, Badische Landesbibliothek, Cod. Lichtenthal 109",1540,Benediktiner,"Karlsruhe, Badische Landesbibliothek",Gebetbuch (lat.-dt.),um 1540,"Frauenalb, Benediktinerinnen","265v-266r: III, 18",Gleiche Schreiberin wie Cod. Lichtenthal 106 ,http://www.handschriftencensus.de/14835,http://digital.blb-karlsruhe.de/blbihd/content/pageview/66266,https://digital.blb-karlsruhe.de/urn/urn:nbn:de:bsz:31-35763,,,,8.44110,48.83430
od38,"Karlsruhe, Badische Landesbibliothek, Cod. St. Georgen 95",1497,Unbekannt,"Karlsruhe, Badische Landesbibliothek",Gebet- und Unterrichtsbuch,1497,,"155v-160r: V, 18b",,http://www.handschriftencensus.de/18036,http://digital.blb-karlsruhe.de/blbihd/content/pageview/1013533,http://digital.blb-karlsruhe.de/urn/urn:nbn:de:bsz:31-29558,,,100.00,8.85970,47.65870
od39,"Karlsruhe, Badische Landesbibliothek, Cod. Wonnenthal 13",1632,Zisterzienser,"Karlsruhe, Badische Landesbibliothek",Gebet- und Andachtsbuch,1632,"Eschenbach/Luzern, Zisterzienserinnen","48r-53r: IV, 27, 59a, b",,http://www.handschriftencensus.de/7686,http://digital.blb-karlsruhe.de/blbihd/content/pageview/94104,–,,,,8.32150,47.13280
od40,"Karlsruhe, Badische Landesbibliothek, Cod. Wonnenthal 14",1491,Zisterzienser,"Karlsruhe, Badische Landesbibliothek",Gebet- und Andachtsbuch,um 1491-1493,"Wonnental, Zisterzienserinnen (?) ","79v-81r: I, 47",,http://www.handschriftencensus.de/7687,http://digital.blb-karlsruhe.de/blbihd/content/pageview/94105,http://digital.blb-karlsruhe.de/blbhs/content/titleinfo/869537,,,,7.76880,48.18530
od41,"Karlsruhe, Badische Landesbibliothek, Cod. Wonnenthal 15",1490,Unbekannt,"Karlsruhe, Badische Landesbibliothek",Gebet- und Andachtsbuch,um 1490-1494,oberrheinische Provenienz (evtl. Franziskanerinnen),"134v-136v: I, 47","Gleiche Gebetsfassung: 
Karlsruhe, BLB, Cod. Wonnenthal 16, 221v-224r ",http://www.handschriftencensus.de/7688,http://digital.blb-karlsruhe.de/blbihd/content/pageview/94113,http://digital.blb-karlsruhe.de/urn/urn:nbn:de:bsz:31-29343,,,100.00,8.53900,48.68100
